"Daily Sales Report"

Period,Product,"Quantity Sold","Total Amount (₱)"
2025-11-17,"Coolant Brake Fluid",2,672.00
2025-11-17,"PRT BRAKE FLUID 270ML",3,393.75
2025-11-17,"PRT BRAKE FLUID 900ML",2,672.00
2025-11-17,"Water Solution",1,44.00
2025-11-17,"WHIZ Brake Fluid",1,66.00
2025-11-17,"WHIZ Brake Fluid 170ml",1,55.00
2025-11-18,"Coolant Brake Fluid",2,672.00
2025-11-18,"PRT BRAKE FLUID 270ML",6,787.50
2025-11-18,"PRT BRAKE FLUID 900ML",10,"3,360.00"
2025-11-18,"WHIZ Brake Fluid",2,132.00
2025-11-22,"Coolant Brake Fluid",1,336.00
2025-11-22,"PRODUCT 1",3,990.00
2025-11-22,"PRT BRAKE FLUID 270ML",1,131.25
2025-11-22,"PRT BRAKE FLUID 900ML",1,336.00
2025-11-22,"Water Solution",1,44.00
2025-11-23,"CASTROL ACTIVE 800ml",2,484.00
2025-11-23,"PRODUCT TEST",2,480.00
2025-11-24,"CASTROL ACTIVE 800ml",1,242.00
2025-11-24,"PRODUCT TEST 3",1,315.00
2025-11-24,"RANDOM 1",1,315.00
2025-11-24,"RANDOM 2",1,315.00
2025-11-24,"RANDOM 6",2,630.00
2025-11-24,"RANDOM 7",1,315.00
2025-11-24,"TEST 2",1,210.00
2025-11-25,"Water Solution",1,44.00

,"GRAND TOTAL",,"12,041.50"
